Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,20p,
"C10, C12",1206,2,2.2u,
"C11, C13, C15, C16, C17, C18, C3, C41, C5, C6, C7, C9",1206,12,100n,
C14,1206,1,1u,
"C19, C20, C57, C58",0805,4,1u,
"C21, C24, C25, C26, C28, C29, C30, C31, C34, C35, C36, C37, C38, C39, C8",0805,15,100n,
"C22, C23, C33",0805,3,10u,
"C27, C32, C42",0805,3,10n,
C4,1206,1,4.7u,
"C40, C43, C44, C45, C46, C47, C48",1206,7,10u,
"C49, C50, C51, C52",1206,4,22u,
"C53, C54, C55, C56",0805,4,22u,
"D1, D10, D13, D2, D7, D8",0805,6,LED_RED,
"D11, D12, D14, D15, D29, D3, D30, D4, D5, D6, D9",D_SMA_Handsoldering,11,D,
D16,0805,1,LED_ORANGE,
D17,0805,1,LED_YELLOW,
D18,0805,1,LED_GREEN,
"D19, D20, D21, D22, D23, D24, D25, D26, D27, D28",D_SMA_Handsoldering,10,D_TVS_Small,
D31,D_SMA_Handsoldering,1,35V TVS,
"D32, D33, D34, D35",0805,4,LED GREEN,
"F1, F2, F3",1812,3,RF1406-000,
"H1, H2, H3, H4",MountingHole_3mm,4,MountingHole,
IC1,SOIC127P1032X265-20N,1,ADM3251EARWZ-REEL,
J1,PinHeader_1x08_P2.54mm_Horizontal,1,Conn_01x08_Male,
"J10, J12, J23, J27, J28, J9","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",6,Phoenix,
"J11, J24, J25, J26, J7, J8",PinHeader_1x02_P2.54mm_Vertical,6,Goldpin,
"J13, J15, J31, J33, J34","PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",5,Phoenix,
"J14, J16, J32, J39, J40",PinHeader_1x04_P2.54mm_Vertical,5,Goldpin,
"J17, J19, J3, J35, J36, J4, J41, J42","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",8,Phoenix,
"J18, J21, J37, J38, J43, J44, J5, J6",PinHeader_1x03_P2.54mm_Vertical,8,Goldpin,
J2,GCT_USB4800-03-A_REVA,1,USB4800-03-A_REVA,
J20,"PhoenixContact_MC_1,5_5-G-3.5_1x05_P3.50mm_Horizontal",1,Phoenix,
J22,PinHeader_1x05_P2.54mm_Vertical,1,Goldpin,
J29,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",1,Conn_01x02,
J30,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
"JP1, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP2, JP20, JP21, JP22, JP3, JP4, JP8, JP9",PinHeader_1x02_P2.54mm_Vertical,19,Jumper,
JP5,PinHeader_1x02_P2.54mm_Vertical,1,HS,
JP6,PinHeader_1x02_P2.54mm_Vertical,1,LP,
JP7,PinHeader_1x02_P2.54mm_Vertical,1,SC,
"K1, K2",RELAY_LEG-24,2,LEG-5,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,IRLML6244,
"R1, R5, R6",1206,3,DNP,
R10,1206,1,33k,
R11,1206,1,82k,
"R12, R13, R29, R32, R33, R34, R35",0805,7,1k,
"R14, R15, R24, R25, R28, R42, R43, R46, R47, R74, R75, R76, R77",0805,13,2.2k,
"R16, R17, R20, R21, R22, R23, R30, R36, R37, R38, R39, R52, R58, R62, R64, R68, R69, R72, R73",0805,19,10k,
"R18, R19",0805,2,4.7k,
"R2, R3",1206,2,20,
"R26, R27, R31",0805,3,200,
"R4, R7",1206,2,5.1k,
"R40, R41, R44, R45",0805,4,100,
R48,1206,1,47k,
"R49, R57",1206,2,120,
"R50, R51, R53, R54, R79, R80, R81, R82, R83, R84, R85, R86",0805,12,10,
"R55, R56",1206,2,560,
R59,0805,1,30k,
R60,0805,1,15k,
R61,0805,1,0,
"R63, R65",0805,2,1.5k,
"R66, R67",0805,2,3.3k,
R70,0805,1,1.37k,
R71,0805,1,2.21k,
"R8, R9",1206,2,10k,
SW1,SW_SPST_TL3342,1,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,
"U10, U11",CONV_RPX-2.5-R,2,RPX-2.5-R,
U12,Converter_DCDC_TRACO_TEA1-xxxx_THT,1,TEA1-0505,
U2,LQFP-100_14x14mm_P0.5mm,1,STM32F446VETx,
"U3, U4, U5",SO-4_4.4x3.6mm_P2.54mm,3,LTV-356T,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U7,VSSOP-8_2.3x2mm_P0.5mm,1,TXB0102DCU,
U8,SOIC-20W_7.5x12.8mm_P1.27mm,1,ADM2582E,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA197xD,
Y1,Crystal_SMD_HC49-SD,1,8MHz,
