Designator,Mid X,Mid Y,Rotation,Layer
C1,156.11,-106.628,270.0,top
C10,129.286,-100.33,0.0,bottom
C11,137.314,-102.31,270.0,bottom
C12,121.82,-106.882,90.0,bottom
C13,140.87,-115.518,0.0,bottom
C14,144.1335,-91.388,0.0,bottom
C15,144.1335,-93.976,0.0,bottom
C16,144.172,-96.468,0.0,bottom
C17,146.204,-107.898,90.0,bottom
C18,146.204,-102.6025,270.0,bottom
C19,196.342,-114.554,90.0,bottom
C2,156.11,-102.564,90.0,top
C20,219.142,-140.978,270.0,bottom
C21,146.4685,-119.665,0.0,top
C22,146.4685,-117.415,0.0,top
C23,135.672,-85.863,0.0,top
C24,135.672,-83.613,0.0,top
C25,184.11,-91.304,180.0,bottom
C26,125.172,-85.863,180.0,top
C27,125.172,-83.613,180.0,top
C28,185.11,-82.804,180.0,bottom
C29,199.2875,-84.0,0.0,top
C3,82.8775,-100.482,180.0,top
C30,199.2875,-86.25,0.0,top
C31,137.675,-68.511,0.0,top
C32,124.4885,-68.511,180.0,top
C33,137.675,-66.261,0.0,top
C34,124.4885,-66.261,180.0,top
C35,199.3045,-68.29,0.0,top
C36,204.2875,-68.326,0.0,top
C37,208.2825,-68.326,0.0,top
C38,195.3045,-68.29,0.0,top
C39,195.3045,-66.04,0.0,top
C4,122.174,-94.4495,90.0,bottom
C40,180.395,-64.3515,270.0,bottom
C41,182.935,-64.3515,270.0,bottom
C42,185.221,-64.373,270.0,bottom
C43,95.252,-66.36,90.0,top
C44,87.35675,-81.788,90.0,top
C45,92.71,-66.294,90.0,top
C46,89.89675,-81.7495,90.0,top
C47,76.248,-61.159,90.0,top
C48,79.598,-61.159,90.0,top
C49,105.664,-71.628,0.0,top
C5,124.714,-94.4495,90.0,bottom
C50,101.61925,-84.2895,0.0,top
C51,105.664,-68.834,0.0,top
C52,101.61925,-87.0835,0.0,top
C53,106.426,-64.77,90.0,top
C54,101.83475,-80.204,90.0,top
C55,104.14,-64.77,90.0,top
C56,99.54875,-80.2255,90.0,top
C57,190.876,-98.794,0.0,bottom
C58,195.9375,-98.794,0.0,bottom
C6,137.314,-107.644,270.0,bottom
C7,138.43,-91.948,90.0,bottom
C8,154.584,-89.849,270.0,top
C9,121.82,-112.47,90.0,bottom
D1,197.0,-110.25,180.0,top
D10,213.36,-83.82,180.0,top
D11,92.964,-123.952,270.0,bottom
D12,96.52,-123.952,270.0,bottom
D13,109.728,-83.296,270.0,top
D14,102.616,-123.952,270.0,bottom
D15,107.188,-123.952,270.0,bottom
D16,112.014,-83.312,270.0,top
D17,114.3,-83.312,270.0,top
D18,116.586,-83.303,270.0,top
D19,143.5,-149.0,0.0,bottom
D2,227.33,-140.208,90.0,top
D20,155.25,-149.25,0.0,bottom
D21,126.245,-44.417,180.0,bottom
D22,117.609,-47.211,270.0,bottom
D23,144.279,-47.465,270.0,bottom
D24,137.675,-44.671,0.0,bottom
D25,212.344,-47.752,90.0,bottom
D26,202.184,-44.704,180.0,bottom
D27,156.972,-45.466,180.0,bottom
D28,169.672,-45.466,180.0,bottom
D29,159.821,-62.8675,90.0,bottom
D3,193.5,-117.75,270.0,bottom
D30,173.537,-63.1215,90.0,bottom
D31,81.026,-72.684,90.0,top
D32,74.422,-49.022,270.0,top
D33,80.01,-49.006,270.0,top
D34,77.216,-49.006,270.0,top
D35,185.986,-98.98,90.0,top
D4,215.392,-141.478,270.0,bottom
D5,216.408,-110.75,270.0,bottom
D6,217.25,-99.5,270.0,bottom
D7,206.502,-106.5,270.0,top
D8,206.25,-97.0,270.0,top
D9,220.25,-83.75,0.0,bottom
F1,194.31,-132.588,180.0,bottom
F2,216.154,-127.508,90.0,bottom
F3,72.123,-67.763,0.0,top
IC1,201.8825,-76.538,90.0,top
J1,72.184,-119.325,180.0,top
J10,228.6,-100.436,90.0,top
J11,223.012,-89.523,180.0,top
J12,228.6,-89.436,90.0,top
J13,119.972,-144.272,0.0,top
J14,120.142,-138.43,90.0,top
J15,99.71,-144.32,0.0,top
J16,99.822,-138.43,90.0,top
J17,151.947,-144.1335,0.0,top
J18,151.907,-138.43,90.0,top
J19,202.938,-50.237,180.0,top
J2,63.802,-97.265,270.0,top
J20,130.81,-50.0885,180.0,top
J21,202.931,-55.626,270.0,top
J22,130.817,-55.593,270.0,top
J23,181.864,-50.266,180.0,top
J24,181.871,-55.5165,90.0,top
J25,156.974,-55.5165,90.0,top
J26,169.42,-55.5165,90.0,top
J27,156.972,-50.266,180.0,top
J28,169.672,-50.266,180.0,top
J29,69.6785,-59.254,270.0,top
J3,196.761,-144.1335,0.0,top
J30,71.896,-78.299,270.0,top
J31,94.445,-50.292,180.0,top
J32,94.406,-55.372,270.0,top
J33,80.094,-144.272,0.0,top
J34,228.6,-60.17,90.0,top
J35,228.6,-76.2,90.0,top
J36,136.961,-144.1335,0.0,top
J37,223.012,-76.185,180.0,top
J38,136.921,-138.43,90.0,top
J39,80.274,-138.43,90.0,top
J4,228.7155,-124.913,90.0,top
J40,223.012,-60.188,180.0,top
J41,167.076,-144.1335,0.0,top
J42,181.864,-144.1335,0.0,top
J43,167.132,-138.43,90.0,top
J44,181.864,-138.43,90.0,top
J5,196.781,-138.43,90.0,top
J6,223.012,-124.953,180.0,top
J7,223.012,-111.76,180.0,top
J8,223.012,-100.445,180.0,top
J9,228.6,-111.705,90.0,top
JP1,92.964,-132.583,0.0,top
JP10,134.247,-60.463,90.0,top
JP11,131.076,-67.023,270.0,top
JP12,142.501,-57.366,0.0,top
JP13,120.227,-57.117,0.0,top
JP14,189.992,-55.626,90.0,top
JP15,189.934,-60.706,90.0,top
JP16,189.934,-58.145,90.0,top
JP17,154.457,-60.2875,270.0,top
JP18,167.954,-60.5415,270.0,top
JP19,154.487,-65.3675,270.0,top
JP2,96.63,-132.558,0.0,top
JP20,167.949,-63.0815,270.0,top
JP21,154.457,-62.8275,270.0,top
JP22,167.954,-65.6215,270.0,top
JP3,102.63,-132.587,0.0,top
JP4,107.106,-132.562,0.0,top
JP5,153.814,-121.54,270.0,top
JP6,153.814,-124.19,270.0,top
JP7,153.814,-126.79,270.0,top
JP8,144.78,-134.366,0.0,top
JP9,127.722,-60.463,90.0,top
K1,193.75,-120.25,0.0,top
K2,214.75,-142.0,0.0,top
Q1,183.068,-114.9835,90.0,bottom
Q2,203.962,-134.5175,90.0,bottom
Q3,115.57,-133.6825,90.0,bottom
Q4,119.758,-133.708,90.0,bottom
Q5,123.851,-133.546,90.0,bottom
Q6,127.762,-133.514,90.0,bottom
R10,75.232,-102.815,0.0,top
R11,75.232,-105.355,180.0,top
R12,179.568,-114.9835,90.0,bottom
R13,205.248,-128.016,0.0,bottom
R14,190.5,-110.236,0.0,bottom
R15,222.758,-139.192,0.0,bottom
R16,183.068,-111.671,0.0,bottom
R17,204.41,-131.08,0.0,bottom
R18,222.012,-106.172,0.0,bottom
R19,222.75,-95.75,0.0,bottom
R2,75.486,-95.703,0.0,top
R20,219.71,-110.998,90.0,bottom
R21,220.25,-99.25,90.0,bottom
R22,208.026,-106.5,90.0,bottom
R23,208.75,-97.0,90.0,bottom
R24,207.01,-109.982,180.0,bottom
R25,207.5,-100.5,180.0,bottom
R26,204.2,-105.41,180.0,bottom
R27,205.232,-96.012,180.0,bottom
R28,213.25,-87.25,180.0,bottom
R29,218.948,-88.392,270.0,bottom
R3,75.486,-98.243,180.0,top
R30,205.486,-92.166,180.0,bottom
R31,205.486,-89.916,180.0,bottom
R32,114.554,-127.254,270.0,bottom
R33,118.618,-127.27,270.0,bottom
R34,122.936,-127.0,270.0,bottom
R35,127.0,-126.746,270.0,bottom
R36,115.57,-130.556,0.0,bottom
R37,119.65,-130.556,0.0,bottom
R38,123.968,-130.302,0.0,bottom
